school,number,race
C.C. Spaulding Elementary,1.10%,Asian
C.C. Spaulding Elementary,72.50%,Black/African American
C.C. Spaulding Elementary,21.20%,Hispanic/Latino
C.C. Spaulding Elementary,0.00%,Indigenous
C.C. Spaulding Elementary,3.70%,White
Eastway Elementary,0.90%,Asian
Eastway Elementary,43.70%,Black/African American
Eastway Elementary,52.20%,Hispanic/Latino
Eastway Elementary,0.20%,Indigenous
Eastway Elementary,1.80%,White
E.K. Powe Elementary,0.90%,Asian
E.K. Powe Elementary,31.40%,Black/African American
E.K. Powe Elementary,27.00%,Hispanic/Latino
E.K. Powe Elementary,0.00%,Indigenous
E.K. Powe Elementary,34.90%,White
Fayetteville Street Elementary,1.20%,Asian
Fayetteville Street Elementary,50.00%,Black/African American
Fayetteville Street Elementary,42.30%,Hispanic/Latino
Fayetteville Street Elementary,0.00%,Indigenous
Fayetteville Street Elementary,1.60%,White
Forest View Elementary,6.40%,Asian
Forest View Elementary,18.50%,Black/African American
Forest View Elementary,36.70%,Hispanic/Latino
Forest View Elementary,0.10%,Indigenous
Forest View Elementary,31.50%,White
Lakewood Elementary,3.20%,Asian
Lakewood Elementary,35.50%,Black/African American
Lakewood Elementary,49.10%,Hispanic/Latino
Lakewood Elementary,0.00%,Indigenous
Lakewood Elementary,9.30%,White
Parkwood Elementary,2.00%,Asian
Parkwood Elementary,48.90%,Black/African American
Parkwood Elementary,19.50%,Hispanic/Latino
Parkwood Elementary,0.20%,Indigenous
Parkwood Elementary,19.30%,White
Southwest Elementary,2.90%,Asian
Southwest Elementary,45.10%,Black/African American
Southwest Elementary,22.80%,Hispanic/Latino
Southwest Elementary,0.20%,Indigenous
Southwest Elementary,22.80%,White
Hillside High,0.30%,Asian
Hillside High,71.10%,Black/African American
Hillside High,12.80%,Hispanic/Latino
Hillside High,0.20%,Indigenous
Hillside High,1.90%,White
Jordan High,4.00%,Asian
Jordan High,31.40%,Black/African American
Jordan High,28.80%,Hispanic/Latino
Jordan High,0.30%,Indigenous
Jordan High,30.50%,White
Club Boulevard Elementary,0.50%,Asian
Club Boulevard Elementary,23.80%,Black/African American
Club Boulevard Elementary,35.60%,Hispanic/Latino
Club Boulevard Elementary,0.00%,Indigenous
Club Boulevard Elementary,35.10%,White
Hillandale Elementary,2.70%,Asian
Hillandale Elementary,40.00%,Black/African American
Hillandale Elementary,32.70%,Hispanic/Latino
Hillandale Elementary,0.00%,Indigenous
Hillandale Elementary,20.10%,White
Brogden Middle,2.90%,Asian
Brogden Middle,37.10%,Black/African American
Brogden Middle,43.20%,Hispanic/Latino
Brogden Middle,0.50%,Indigenous
Brogden Middle,13.20%,White
Lakewood Montessori Middle,1.70%,Asian
Lakewood Montessori Middle,24.30%,Black/African American
Lakewood Montessori Middle,26.60%,Hispanic/Latino
Lakewood Montessori Middle,0.00%,Indigenous
Lakewood Montessori Middle,41.90%,White
Lowes Grove Middle,1.20%,Asian
Lowes Grove Middle,55.80%,Black/African American
Lowes Grove Middle,34.50%,Hispanic/Latino
Lowes Grove Middle,0.00%,Indigenous
Lowes Grove Middle,5.00%,White
Riverside High,2.40%,Asian
Riverside High,29.90%,Black/African American
Riverside High,37.70%,Hispanic/Latino
Riverside High,10.00%,Indigenous
Riverside High,26.10%,White
